,Points,Score,Weigh,,,,,,,,
Mazda RX4,3.9,2.62,16.46,0.005154356,0.022808718,5.09950881,,,,,
Mazda RX4 Wag,3.9,2.875,17.02,0.005154356,0.011371184,5.549288057,,,,,
Datsun 710,3.85,2.32,18.61,0.003980343,0.041310095,6.929930757,,,,,115.09
Hornet 4 Drive,3.08,3.215,19.44,0.005033879,0.002251441,7.711510279,,,,,
Hornet Sportabout,3.15,3.44,17.02,0.003453254,6.85895E-05,5.549288057,,,,,
Valiant,2.76,3.46,20.22,0.016041409,2.30431E-05,8.484061243,,,,,
Duster 360,3.21,3.57,15.84,0.002334797,0.000205871,4.623708626,,,,,
Merc 240D,3.69,3.19,20,0.001241684,0.002683374,8.26242892,,,6.23,,
Merc 230,3.92,3.15,22.9,0.005666386,0.003453254,11.41946106,,,,,
Merc 280,3.92,3.44,18.3,0.005666386,6.85895E-05,6.648724604,,,,,
Merc 280C,3.92,3.44,18.9,0.005666386,6.85895E-05,7.198267304,,,,,
Merc 450SE,3.07,4.07,17.4,0.005283925,0.010279333,5.865319645,,,,,
Merc 450SL,3.07,3.73,17.6,0.005283925,0.001780894,6.035167212,,,,,
Merc 450SLC,3.07,3.78,18,0.005283925,0.002591271,6.382135072,,,,,
Cadillac Fleetwood,2.93,5.25,17.98,0.009420931,0.094125431,6.364556376,,,,,
Lincoln Continental,3,5.424,17.82,0.007203943,0.11362845,6.224799535,,,,,
Chrysler Imperial,3.23,5.345,17.42,0.002010463,0.104546207,5.882195311,,,,,
Fiat 128,4.08,2.2,19.47,0.010635348,0.050237919,7.74054196,,,,,
Honda Civic,4.93,1.615,18.52,0.063048112,0.106258787,6.847690261,,,,,
Toyota Corolla,4.22,1.835,19.9,0.016255917,0.082757777,8.162656652,,,,,
Toyota Corona,3.7,2.465,20.01,0.001367396,0.031686702,8.27243948,,,,,
Dodge Challenger,2.76,3.52,16.87,0.016041409,3.18585E-05,5.426947836,,,,,
AMC Javelin,3.15,3.435,17.3,0.003453254,8.37639E-05,5.781304953,,,,,
Camaro Z28,3.73,3.84,15.41,0.001780894,0.003763723,4.307399994,,,,,
Pontiac Firebird,3.08,3.845,17.05,0.005033879,0.003871275,5.573919737,,,,,
Fiat X1-9,4.08,1.935,18.9,0.010635348,0.073045196,7.198267304,,,,,
Porsche 914-2,4.43,2.14,16.7,0.026914044,0.055029104,5.289944072,,,,,
Lotus Europa,3.77,1.513,16.9,0.002417074,0.118149982,5.45130679,,,,,
Ford Pantera L,4.22,3.17,14.5,0.016255917,0.003056193,3.674954173,,,,,
Ferrari Dino,3.62,2.77,15.5,0.000531399,0.015603484,4.372676854,,,,,
Maserati Bora,3.54,3.57,14.6,8.32819E-05,0.000205871,3.741999168,,,,,
Volvo 142E,4.11,2.78,18.6,0.011739756,0.01517162,6.920768681,,,,,
,,,,,,,,,,,
,,,,0.280073376,0.970217591,202.9931688,,,,,
,0,,,,,,,,,,
